user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
384216,MD,60.1,Male,Caucasian,Independent,TRUE,FALSE,4650,19774,68,418,3
1366947,MD,55,Male,Other,Independent,FALSE,FALSE,931,13225,330,173,3
113952,MD,31.5,Male,Other,Democrat,FALSE,FALSE,3878,39997,148,204,1
489348,MD,41.9,Male,Caucasian,Democrat,FALSE,FALSE,24867,9229,117,134,1
2946958,ME,52.4,Female,Caucasian,Republican,TRUE,TRUE,42846,1128475,237799,2905,607
2866686,MI,48.8,Female,Caucasian,No Party/No Info,TRUE,TRUE,16865,682183,154031,3749,878
2432925,MI,60.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,378,6384,420,38,8
537165,MI,29.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,7709,5578,11,66,1
2802508,MI,57.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,568,4106,2,6,1
567302,MN,44.4,Female,Caucasian,No Party/No Info,FALSE,FALSE,1236,29377,1306,328,5
65329,MN,35,Female,Caucasian,No Party/No Info,FALSE,FALSE,3520,1017,60,29,1
747397,MN,59.2,Female,Caucasian,No Party/No Info,FALSE,FALSE,1156,44571,321,105,1
2579310,MO,39,Female,Caucasian,No Party/No Info,FALSE,TRUE,1196,56373,3687,111,4
2755111,MO,32.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,860,903,152,13,4
3351962,MO,40.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,118,106,1,6,2
1002824,MO,29.1,Female,African-American,No Party/No Info,FALSE,FALSE,408,578,1,6,1
1838879,MO,62.1,Female,Caucasian,No Party/No Info,FALSE,FALSE,2176,7385,2,21,1
2903520,MO,24.3,Male,Caucasian,No Party/No Info,TRUE,TRUE,8314,75000,905,854,1
3093007,MO,48,Male,Caucasian,No Party/No Info,FALSE,FALSE,2080,25939,127,11,1
2842876,MT,47.6,Female,Caucasian,No Party/No Info,FALSE,FALSE,1857,28145,845,81,5
3279849,MT,64.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,1813,11996,335,214,4
1498306,NC,20.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,683,1712,29,12,1
3346773,NE,57.6,Female,Caucasian,Republican,FALSE,FALSE,423,7121,199,25,5
1144391,NE,27.2,Male,Other,Democrat,FALSE,FALSE,3484,22039,299,52,2
4542,NE,25.1,Female,Caucasian,Democrat,FALSE,FALSE,1852,3391,5,6,1
506614,NE,55.2,Male,Caucasian,Democrat,FALSE,FALSE,395,6066,29,6,1
2513720,NE,70.4,Male,Caucasian,Republican,FALSE,FALSE,199,1838,129,75,1
2855616,NE,46.5,Male,Caucasian,Republican,FALSE,FALSE,995,7292,56,2,1
1788291,NH,51.8,Female,Caucasian,Independent,TRUE,TRUE,20053,65140,2007,374,19
2696121,NH,37.8,Female,Caucasian,Democrat,FALSE,FALSE,445,27791,889,17,1
165621,NJ,58.6,Male,African-American,Democrat,TRUE,FALSE,25943,17327,188,521,33
1012944,NJ,42.2,Male,Caucasian,Democrat,FALSE,FALSE,8014,23050,768,35,2
236775,NJ,35.8,Male,African-American,Independent,FALSE,FALSE,1089,7546,6,53,1
596021,NJ,64.3,Female,African-American,Democrat,FALSE,FALSE,110,910,2,12,1
941755,NJ,61.6,Male,Other,Democrat,TRUE,FALSE,4227,5125,17,433,1
1415611,NJ,42.5,Female,African-American,Independent,FALSE,FALSE,2662,12480,1081,63,1
2324931,NJ,58.1,Male,Caucasian,Democrat,FALSE,TRUE,1716,81578,2820,56,1
467616,NV,65.1,Male,Hispanic,Democrat,TRUE,TRUE,103392,1176828,68434,787,38
2506968,NV,32.9,Female,Caucasian,Republican,FALSE,FALSE,135,2549,219,6,2
236158,NV,52.3,Male,Caucasian,Republican,FALSE,TRUE,642,68485,10627,4,1
2376882,NV,61,Female,Caucasian,Republican,FALSE,FALSE,288,4092,111,30,1
